epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
76,155.931,0.06338,0.94955,1,0.08914,0.000429253,0.000429253,0.000429253
77,157.95,0.06004,0.93769,1,0.1447,0.000412749,0.000412749,0.000412749
78,160.047,0.07098,0.92582,1,0.16121,0.000396246,0.000396246,0.000396246
79,162.023,0.06912,0.92285,1,0.15167,0.000379743,0.000379743,0.000379743
80,164.181,0.05102,0.91691,1,0.1475,0.000363239,0.000363239,0.000363239
81,166.258,0.05788,0.91691,1,0.15603,0.000346736,0.000346736,0.000346736
82,168.327,0.03583,0.93769,1,0.12583,0.000330233,0.000330233,0.000330233
83,170.421,0.06323,0.93175,1,0.14458,0.000313729,0.000313729,0.000313729
84,172.419,0.05247,0.91098,1,0.20366,0.000297226,0.000297226,0.000297226
85,174.543,0.0536,0.90801,1,0.20879,0.000280723,0.000280723,0.000280723
86,176.646,0.03772,0.89318,1,0.248,0.00026422,0.00026422,0.00026422
87,178.688,0.03114,0.92878,1,0.2198,0.000247716,0.000247716,0.000247716
88,180.76,0.05754,0.91098,1,0.21938,0.000231213,0.000231213,0.000231213
89,182.796,0.04525,0.89614,1,0.23321,0.00021471,0.00021471,0.00021471
90,185.048,0.03816,0.90208,1,0.22055,0.000198206,0.000198206,0.000198206
91,187.638,0.05711,0.90801,1,0.23247,0.000181703,0.000181703,0.000181703
92,189.623,0.06164,0.90801,1,0.19652,0.0001652,0.0001652,0.0001652
93,191.607,0.04549,0.89911,1,0.19624,0.000148696,0.000148696,0.000148696
94,193.671,0.04129,0.89911,1,0.23371,0.000132193,0.000132193,0.000132193
95,195.832,0.04759,0.89614,1,0.24736,0.00011569,0.00011569,0.00011569
96,197.847,0.05258,0.89911,1,0.26417,9.91865e-05,9.91865e-05,9.91865e-05
97,199.91,0.03721,0.90208,1,0.2141,8.26832e-05,8.26832e-05,8.26832e-05
98,201.969,0.04546,0.90208,1,0.23405,6.61799e-05,6.61799e-05,6.61799e-05
99,203.969,0.05063,0.91988,1,0.21156,4.96766e-05,4.96766e-05,4.96766e-05
100,205.946,0.05144,0.89911,1,0.22229,3.31733e-05,3.31733e-05,3.31733e-05
